,Station,2016,2017,2018,2019,2020,2021,2022,Average_traffic,Colors,X,Y
0,Acton Town,6274649.0,5731527.0,5794685.0,6186555.0,3568528.0,2902697.0,4931972.0,4159423.4285714286,"0.7920288285714285,0.7920288285714285,1",-0.280251204,51.50274977
1,Aldgate,8009494.0,8459234.0,9218140.0,9956600.0,2775844.0,3525128.0,6902494.0,5833920.0,"0.708304,0.708304,1",-0.075614184,51.51427182
2,Aldgate East,13434630.0,13262408.0,13707738.0,14148654.0,3144899.0,5611130.0,10229488.0,8586331.0,"0.57068345,0.57068345,1",-0.07228712,51.51523341
3,Alperton,3174845.0,2896391.0,2796159.0,2858439.0,2064990.0,1345253.0,2302973.0,2037743.5714285714,"0.8981128214285714,0.8981128214285714,1",-0.299486539,51.54069477
4,Amersham,2360700.0,2215502.0,2130207.0,2350099.0,863361.0,946577.0,1657141.0,1451841.0,"0.92740795,0.92740795,1",-0.607478839,51.67414971
5,Angel,20100806.0,18236123.0,17661269.0,17705761.0,5255371.0,7258744.0,12371592.0,11212694.285714285,"0.4393652857142857,0.4393652857142857,1",-0.105789914,51.53249887
6,Archway,9940993.0,8806365.0,8608964.0,8772643.0,4429802.0,4027456.0,6798862.0,5920584.571428572,"0.7039707714285715,0.7039707714285715,1",-0.135113518,51.56542675
7,Arnos Grove,4645869.0,4372042.0,4263555.0,4436265.0,2340827.0,1963343.0,3299601.0,2953661.8571428573,"0.8523169071428571,0.8523169071428571,1",-0.13351631,51.61634026
8,Arsenal,3012524.0,2671088.0,2651488.0,2768340.0,999026.0,1209093.0,2115609.0,1773520.5714285714,"0.9113239714285715,0.9113239714285715,1",-0.105761988,51.55849877
9,Baker Street,29754860.0,27340420.0,27349471.0,28073310.0,8475976.0,11147642.0,20518901.0,17557960.0,"0.12210200000000004,0.12210200000000004,1",-0.156900356,51.52306125
10,Balham,14637993.0,13584305.0,12706683.0,13064682.0,5241275.0,5356512.0,9216500.0,8452851.0,"0.57735745,0.57735745,1",-0.153207553,51.44332898
11,Barbican,11973122.0,11303155.0,11160091.0,10467974.0,2537108.0,3467856.0,5361855.0,6328291.285714285,"0.6835854357142856,0.6835854357142856,1",-0.097711123,51.52014573
12,Barking,15860320.0,17278582.0,17491858.0,18133350.0,14289887.0,9272519.0,14556327.0,13003217.57142857,"0.34983912142857143,0.34983912142857143,1",0.080863183,51.53945121
13,Barkingside,1633262.0,1543740.0,1557996.0,1575379.0,915270.0,647203.0,1116039.0,1050803.857142857,"0.9474598071428572,0.9474598071428572,1",0.088511014,51.58578596
14,Barons Court,7207423.0,6769847.0,6689966.0,6821846.0,3127255.0,2900237.0,5110605.0,4488536.571428572,"0.7755731714285714,0.7755731714285714,1",-0.213606857,51.49015994
15,Bayswater,4756028.0,4437691.0,4335552.0,4253914.0,1086943.0,1498957.0,3337844.0,2707271.5714285714,"0.8646364214285714,0.8646364214285714,1",-0.188038262,51.51223306
16,Becontree,3545530.0,3458723.0,3477091.0,3461331.0,2756262.0,1759768.0,2674391.0,2512509.4285714286,"0.8743745285714286,0.8743745285714286,1",0.127400321,51.54028854
