NLC,Station,en/ex
500,Acton Town,5731527
502,Aldgate,8459234
503,Aldgate East,13262408
505,Alperton,2896391
506,Amersham,2215502
507,Angel,18236123
508,Archway,8806365
509,Arnos Grove,4372042
510,Arsenal,2671088
511,Baker Street,27340420
512,Balham LU,13584305
513,Bank and Monument,59256074
501,Barbican,11303155
514,Barking,17278582
515,Barkingside,1543740
516,Barons Court,6769847
517,Bayswater,4437691
518,Becontree,3458723
519,Belsize Park,5926276
787,Bermondsey,10083167
520,Bethnal Green LU,14720488
521,Blackfriars LU,14159864
522,Blackhorse Road,8537573
524,Bond Street,36853006
525,Borough,5581683
526,Boston Manor,2170793
527,Bounds Green,6057231
528,Bow Road,5362773
529,Brent Cross,2392436
778,Brixton LU,31107666
530,Bromley-by-Bow,3569032
531,Buckhurst Hill,2195929
532,Burnt Oak,4264418
534,Caledonian Road,5426372
535,Camden Town,21239992
788,Canada Water,14269588
852,Canary Wharf LU,48576019
884,Canning Town,12574149
536,Cannon Street LU,8996282
537,Canons Park,2918453
539,Chalfont & Latimer,1594941
540,Chalk Farm,5556107
541,Chancery Lane,16775017
718,Charing Cross LU,18476801
543,Chesham,1081174
544,Chigwell,477501
545,Chiswick Park,2138042
546,Chorleywood,1469208
547,Clapham Common,9926782
548,Clapham North,6498663
549,Clapham South,8205230
550,Cockfosters,1828835
551,Colindale,6781366
552,Colliers Wood,6346134
553,Covent Garden,16524381
554,Croxley,1078929
555,Dagenham East,2850852
556,Dagenham Heathway,5779848
557,Debden,2356317
558,Dollis Hill,4033111
560,Ealing Broadway,15947455
561,Ealing Common,3030959
562,Earl's Court,18918916
563,East Acton,3872967
565,East Finchley,6953760
566,East Ham,13938124
567,East Putney,5875905
564,Eastcote,2867252
568,Edgware,5013738
774,Edgware Road (Bak),4396642
569,Edgware Road (DIS),6801573
570,Elephant & Castle LU,20987746
571,Elm Park,3122720
542,Embankment,21002144
572,Epping,3778082
574,Euston LU,40735345
575,Euston Square,13495131
576,Fairlop,1179427
577,Farringdon,19325838
578,Finchley Central,6859802
579,Finchley Road,9134559
580,Finsbury Park,29633479
581,Fulham Broadway,9149885
582,Gants Hill,6491292
583,Gloucester Road,13100020
584,Golders Green,7973435
585,Goldhawk Road,2033590
586,Goodge Street,7185458
587,Grange Hill,639841
588,Great Portland Street,7732903
590,Green Park,37397425
589,Greenford,4452187
591,Gunnersbury,5451362
592,Hainault,3619745
593,Hammersmith (DIS),27831099
773,Hammersmith (H&C),10318281
594,Hampstead,4564741
595,Hanger Lane,3702916
596,Harlesden,3049018
597,Harrow & Wealdstone,4601592
598,Harrow-on-the-Hill,10417901
779,Hatton Cross,3035400
780,Heathrow Terminals 123 LU,7318073
781,Heathrow Terminal 4 LU,2146778
783,Heathrow Terminal 5 LU,4247920
601,Hendon Central,7420133
602,High Barnet,4062201
605,High Street Kensington,12115781
603,Highbury & Islington,19056704
604,Highgate,5581536
606,Hillingdon,1726384
607,Holborn,31015758
608,Holland Park,3451841
609,Holloway Road,6438237
610,Hornchurch,2138383
611,Hounslow Central,3748113
612,Hounslow East,3829625
613,Hounslow West,3330306
614,Hyde Park Corner,5218249
615,Ickenham,1119734
616,Kennington,5286728
617,Kensal Green,2556972
618,Kensington (Olympia),1855973
619,Kentish Town,7938048
620,Kenton,1968088
621,Kew Gardens,4135561
622,Kilburn,8161692
623,Kilburn Park,3185489
625,King's Cross St. Pancras,92620193
624,Kingsbury,4958925
626,Knightsbridge,16241434
627,Ladbroke Grove,5652798
628,Lambeth North,3337188
629,Lancaster Gate,5903385
630,Latimer Road,2344798
631,Leicester Square,34580105
632,Leyton,12751863
633,Leytonstone,10431470
634,Liverpool Street LU,64501949
635,London Bridge LU,65684647
636,Loughton,3412794
637,Maida Vale,3118278
638,Manor House,8214650
639,Mansion House,6140305
640,Marble Arch,13254257
641,Marylebone LU,12988295
642,Mile End,14928464
643,Mill Hill East,1318680
646,Moor Park,897017
645,Moorgate,25828308
647,Morden,9872702
648,Mornington Crescent,4779258
649,Neasden,3646639
650,Newbury Park,5249584
653,North Acton,6459225
654,North Ealing,786073
789,North Greenwich,26585096
656,North Harrow,1833325
659,North Wembley,1684067
655,Northfields,3785696
657,Northolt,4921293
660,Northwick Park,4311177
661,Northwood,2897563
662,Northwood Hills,1918400
663,Notting Hill Gate,15456337
664,Oakwood,2736346
665,Old Street,25083479
667,Osterley,2079080
668,Oval,6983973
669,Oxford Circus,79778619
670,Paddington TfL,46331280
671,Park Royal,1923720
672,Parsons Green,6442093
673,Perivale,2389751
674,Piccadilly Circus,38573777
776,Pimlico,10422636
675,Pinner,3266903
676,Plaistow,5816650
677,Preston Road,3447448
678,Putney Bridge,5113846
680,Queen's Park,5361846
679,Queensbury,4416312
681,Queensway,8031860
682,Ravenscourt Park,3055656
683,Rayners Lane,4112035
684,Redbridge,2789938
685,Regent's Park,3438858
686,Richmond,7883382
687,Rickmansworth,2587429
688,Roding Valley,352989
690,Royal Oak,2486491
691,Ruislip,1890042
692,Ruislip Gardens,1106458
693,Ruislip Manor,1943537
694,Russell Square,10853914
698,Seven Sisters,17340179
700,Shepherd's Bush LU,21410922
775,Shepherd's Bush Market,3530961
702,Sloane Square,16372926
703,Snaresbrook,2787010
704,South Ealing,3477368
707,South Harrow,2107487
708,South Kensington,31994140
709,South Kenton,1147945
710,South Ruislip,1926405
711,South Wimbledon,4627559
712,South Woodford,5022133
705,Southfields,5732747
706,Southgate,5304983
784,Southwark,15946577
695,St. James's Park,13664987
696,St. John's Wood,7399877
697,St. Paul's,16417294
713,Stamford Brook,2557655
714,Stanmore,3717315
715,Stepney Green,6023114
716,Stockwell,11089126
717,Stonebridge Park,2412008
719,Stratford,58586655
720,Sudbury Hill,1790959
721,Sudbury Town,1718575
723,Swiss Cottage,7369274
724,Temple,8561001
725,Theydon Bois,905705
726,Tooting Bec,7658810
727,Tooting Broadway,15371262
728,Tottenham Court Road,39193558
729,Tottenham Hale LU,11889159
730,Totteridge & Whetstone,2416108
731,Tower Hill,19897981
733,Tufnell Park,3895273
734,Turnham Green,5845936
735,Turnpike Lane,10162189
736,Upminster,5266228
737,Upminster Bridge,1096940
738,Upney,2567807
739,Upton Park,9097854
740,Uxbridge,7980024
777,Vauxhall LU,29257502
741,Victoria LU,75163165
742,Walthamstow Central,9089459
743,Wanstead,2804581
745,Warren Street,19218263
746,Warwick Avenue,4047265
747,Waterloo LU,86887788
748,Watford,1771435
