Mode,NLC,ASC,Station,Coverage,Source,Entries,Entries,Entries,Entries,Exits,Exits,Exits,Exits,en/ex
LU,500,ACTu,Acton Town,Station entry / exit,Gateline,"3,702","3,673","2,023","1,476","3,655","3,556","2,099","1,581","3,568,528"
LU,502,ALDu,Aldgate,Station entry / exit,Gateline,"2,489","2,447","1,819","1,706","2,822","2,948","2,017","1,815","2,775,844"
LU,503,ALEu,Aldgate East,Station entry / exit,Gateline,"3,198","3,351","2,336","1,320","3,005","3,073","2,386","1,281","3,144,899"
LU,505,ALPu,Alperton,Station entry / exit,Gateline,"2,073","2,086","1,210",757,"2,195","2,214","1,212",822,"2,064,990"
LU,506,AMEu,Amersham,Station entry / exit,Gateline,980,898,315,228,965,918,304,203,"863,361"
LU,507,ANGu,Angel,Station entry / exit,Gateline,"5,180","5,483","3,367","2,446","5,244","5,568","3,427","2,466","5,255,371"
LU,508,ARCu,Archway,Station entry / exit,Gateline,"4,621","4,640","2,614","1,871","4,526","4,492","2,432","1,782","4,429,802"
LU,509,AGRu,Arnos Grove,Station entry / exit,Gateline,"2,479","2,490","1,606","1,093","2,234","2,255","1,412","1,022","2,340,827"
LU,510,ARLu,Arsenal,Station entry / exit,Gateline,"1,055","1,088",757,577,883,891,630,546,"999,026"
LU,511,BSTu,Baker Street,Station entry / exit,Gateline,"8,770","8,863","4,905","3,825","8,542","8,590","4,857","3,795","8,475,976"
LU,512,BALu,Balham LU,Station entry / exit,Gateline,"5,204","5,406","3,547","2,318","5,241","5,414","3,500","2,330","5,241,275"
LU,513,BNKu,Bank and Monument,Station entry / exit,Gateline,"7,663","6,860","3,047","2,090","7,894","7,164","3,109","2,138","7,031,102"
LU,501,BARu,Barbican,Station entry / exit,Gateline,"2,847","2,771",934,618,"2,818","2,745",910,638,"2,537,108"
LU,514,BKGu,Barking,Station entry / exit,Gateline,"14,830","14,855","9,187","5,655","14,464","14,551","8,834","5,240","14,289,887"
LU,515,BDEu,Barkingside,Station entry / exit,Gateline,976,947,466,255,996,972,470,268,"915,270"
LU,516,BCTu,Barons Court,Station entry / exit,Gateline,"3,338","3,232","1,663","1,172","3,286","3,134","1,585","1,181","3,127,255"
LU,517,BAYu,Bayswater,Station entry / exit,Gateline,"1,104","1,073",799,600,"1,034","1,028",744,528,"1,086,943"
LU,518,BECu,Becontree,Station entry / exit,Gateline,"3,003","2,994","1,378",916,"2,895","2,816","1,360",860,"2,756,262"
LU,519,BPKu,Belsize Park,Station entry / exit,Gateline,"3,283","3,276","1,762","1,248","2,490","2,469","1,281",909,"2,769,409"
LU,787,BERu,Bermondsey,Station entry / exit,Gateline,"4,462","4,629","2,967","1,951","4,336","4,412","2,852","1,990","4,400,677"
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Gateline,"6,734","6,978","5,147","3,995","6,366","6,572","4,968","3,828","6,849,607"
LU,521,BLFu,Blackfriars LU,Station entry / exit,Gateline,"3,417","3,177","1,056",838,"3,118","2,913",917,652,"2,894,042"
LU,522,BHRu,Blackhorse Road,Station entry / exit,Gateline,"6,494","6,565","3,859","2,614","6,125","6,138","3,568","2,417","6,158,916"
LU,524,BDSu,Bond Street,Station entry / exit,Gateline,"10,144","9,723","5,961","3,922","9,944","9,422","5,865","3,727","9,682,506"
LU,525,BORu,Borough,Station entry / exit,Gateline,"1,468","1,536","1,012",555,"1,448","1,518","1,152",616,"1,471,942"
LU,526,BOSu,Boston Manor,Station entry / exit,Gateline,"1,110","1,062",532,405,"1,096","1,064",526,394,"1,041,242"
LU,527,BGRu,Bounds Green,Station entry / exit,Gateline,"3,044","3,041","1,958","1,433","2,894","2,923","1,817","1,320","2,953,366"
LU,528,BWRu,Bow Road,Station entry / exit,Gateline,"2,870","2,900","1,439",996,"2,730","2,696","1,347",938,"2,660,676"
LU,529,BTXu,Brent Cross,Station entry / exit,Gateline,"1,463","1,446",757,574,"1,356","1,285",673,563,"1,348,186"
LU,778,BRXu,Brixton LU,Station entry / exit,Gateline,"12,551","13,025","9,269","7,378","11,912","12,305","9,035","7,134","12,735,503"
LU,530,BBBu,Bromley-by-Bow,Station entry / exit,Gateline,"2,750","2,782","1,302",889,"2,708","2,730","1,274",870,"2,575,616"
LU,531,BHLu,Buckhurst Hill,Station entry / exit,Gateline,926,901,513,327,889,862,452,284,"862,044"
LU,532,BURu,Burnt Oak,Station entry / exit,Gateline,"3,080","3,116","1,672","1,189","2,972","3,028","1,630","1,117","2,926,900"
LU,534,CRDu,Caledonian Road,Station entry / exit,Gateline,"2,373","2,537","1,544","1,137","2,264","2,383","1,456","1,129","2,343,114"
LU,535,CTNu,Camden Town,Station entry / exit,Gateline,"5,020","5,339","4,322","3,403","5,132","5,530","4,591","3,585","5,509,540"
LU,788,CWRu,Canada Water,Station entry / exit,Gateline,"5,651","5,932","5,268","3,831","5,576","5,904","5,269","3,834","6,129,616"
LU,852,CWFu,Canary Wharf LU,Station entry / exit,Gateline,"13,162","13,278","9,340","6,322","13,326","13,250","9,256","6,400","13,355,134"
LU,884,CNTu,Canning Town,Station entry / exit,Gateline,"10,035","10,208","9,061","6,524","9,612","9,923","8,639","6,081","10,546,032"
LU,536,CSTu,Cannon Street LU,Station entry / exit,Gateline,"1,917","1,759",590,375,"1,636","1,500",491,318,"1,559,861"
LU,537,CPKu,Canons Park,Station entry / exit,Gateline,"1,608","1,574",789,555,"1,563","1,536",795,535,"1,501,564"
LU,539,CLFu,Chalfont & Latimer,Station entry / exit,Scaled,977,871,323,180,868,826,320,190,"818,368"
LU,540,CHFu,Chalk Farm,Station entry / exit,Gateline,"1,667","1,719","1,488",989,"1,466","1,538","1,246",829,"1,661,516"
LU,541,CYLu,Chancery Lane,Station entry / exit,Gateline,"3,821","3,593","1,061",518,"4,063","3,809",994,544,"3,405,923"
LU,718,CHXu,Charing Cross LU,Station entry / exit,Gateline,"3,295","3,129","2,345","1,645","3,479","3,323","2,412","1,764","3,400,411"
LU,543,CHMu,Chesham,Station entry / exit,Gateline,676,662,325,195,656,637,277,163,"616,342"
LU,544,CHGu,Chigwell,Station entry / exit,Gateline,298,292,108,55,250,247,99,52,"247,222"
LU,545,CHPu,Chiswick Park,Station entry / exit,Gateline,"1,117","1,065",592,389,"1,177","1,114",494,311,"1,067,866"
LU,546,CWDu,Chorleywood,Station entry / exit,Scaled,950,780,288,245,778,698,303,261,"769,367"
LU,547,CPCu,Clapham Common,Station entry / exit,Gateline,"4,137","4,248","3,249","2,408","4,451","4,600","3,578","2,677","4,500,440"
LU,548,CPNu,Clapham North,Station entry / exit,Gateline,"2,806","2,848","2,223","1,627","2,714","2,685","2,085","1,587","2,868,042"
LU,549,CPSu,Clapham South,Station entry / exit,Gateline,"3,310","3,459","2,229","1,543","3,434","3,498","2,232","1,558","3,382,641"
LU,550,CFSu,Cockfosters,Station entry / exit,Gateline,902,848,613,477,857,827,623,453,"886,857"
