Mode,NLC,ASC,Station,Coverage,Source,entries,,entries,entries,exits,,exits,exits,en/ex
LU,500,ACTu,Acton Town,Station entry / exit,Relate,"9,531",0,"6,716","4,744","9,382",0,"6,617","4,785","5,731,527"
LU,502,ALDu,Aldgate,Station entry / exit,Relate,"15,080",0,"4,397","3,261","16,023",0,"5,909","4,230","8,459,234"
LU,503,ALEu,Aldgate East,Station entry / exit,Relate,"22,327",0,"16,166","13,323","21,071",0,"13,893","11,347","13,262,408"
LU,505,ALPu,Alperton,Station entry / exit,Relate,"4,495",0,"3,279","2,345","5,081",0,"3,392","2,445","2,896,391"
LU,506,AMEu,Amersham,Station entry / exit,Relate,"3,848",0,"1,876","1,232","4,025",0,"1,797","1,121","2,215,502"
LU,507,ANGu,Angel,Station entry / exit,Relate,"30,413",0,"20,944","13,916","30,099",0,"22,368","13,832","18,236,123"
LU,508,ARCu,Archway,Station entry / exit,Relate,"15,336",0,"10,701","7,424","13,956",0,"9,023","6,816","8,806,365"
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,"7,443",0,"5,868","3,986","6,732",0,"5,100","3,745","4,372,042"
LU,510,ARLu,Arsenal,Station entry / exit,Relate,"4,622",0,"3,692","2,626","3,929",0,"3,071","2,581","2,671,088"
LU,511,BSTu,Baker Street,Station entry / exit,Relate,"47,116",0,"29,088","22,260","44,913",0,"27,901","20,754","27,340,420"
LU,512,BALu,Balham LU,Station entry / exit,Relate,"22,562",0,"17,441","10,809","22,199",0,"15,581","10,678","13,584,305"
LU,513,BNKu,Bank and Monument,Station entry / exit,Relate,"112,547",0,"29,906","17,414","111,709",0,"29,100","16,333","59,256,074"
LU,501,BARu,Barbican,Station entry / exit,Relate,"20,680",0,"7,416","5,149","20,512",0,"7,702","5,351","11,303,155"
LU,514,BKGu,Barking,Station entry / exit,Relate,"29,410",0,"19,930","14,113","28,165",0,"18,712","13,372","17,278,582"
LU,515,BDEu,Barkingside,Station entry / exit,Relate,"2,723",0,"1,440",931,"2,661",0,"1,403",934,"1,543,740"
LU,516,BCTu,Barons Court,Station entry / exit,Relate,"12,188",0,"7,011","5,009","10,959",0,"6,051","4,894","6,769,847"
LU,517,BAYu,Bayswater,Station entry / exit,Relate,"6,946",0,"6,916","6,033","6,309",0,"6,409","5,286","4,437,691"
LU,518,BECu,Becontree,Station entry / exit,Relate,"6,034",0,"3,935","2,549","5,638",0,"3,595","2,423","3,458,723"
LU,519,BPKu,Belsize Park,Station entry / exit,Relate,"10,868",0,"6,114","4,791","9,207",0,"5,596","4,541","5,926,276"
LU,787,BERu,Bermondsey,Station entry / exit,Relate,"16,503",0,"12,706","8,848","16,121",0,"12,536","9,373","10,083,167"
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Relate,"23,869",0,"20,599","15,643","22,390",0,"19,079","14,976","14,720,488"
LU,521,BLFu,Blackfriars LU,Station entry / exit,Relate,"26,446",0,"10,303","8,112","24,991",0,"8,295","6,211","14,159,864"
LU,522,BHRu,Blackhorse Road,Station entry / exit,Relate,"14,573",0,"10,207","7,512","13,631",0,"9,194","6,984","8,537,573"
LU,524,BDSu,Bond Street,Station entry / exit,Relate,"61,234",0,"46,690","28,468","60,124",0,"45,840","27,253","36,853,006"
LU,525,BORu,Borough,Station entry / exit,Relate,"9,525",0,"5,779","3,955","9,318",0,"6,268","4,140","5,581,683"
LU,526,BOSu,Boston Manor,Station entry / exit,Relate,"3,893",0,"2,378","1,724","3,414",0,"2,094","1,744","2,170,793"
LU,527,BGRu,Bounds Green,Station entry / exit,Relate,"10,509",0,"7,995","5,470","9,196",0,"6,878","5,232","6,057,231"
