Mode,NLC,ASC,Station,Coverage,Source,entries,entries,entries,entries,exits,exits,exits,exits,en/ex
LU,500,ACTu,Acton Town,Station entry / exit,Gateline,"10,091","10,240","7,449","5,187","10,023","10,141","7,713","5,492","6,186,555"
LU,502,ALDu,Aldgate,Station entry / exit,Gateline,"17,039","15,532","6,173","3,873","18,352","16,652","10,665","5,779","9,956,600"
LU,503,ALEu,Aldgate East,Station entry / exit,Gateline,"23,063","24,584","18,072","14,638","22,381","23,964","16,465","12,707","14,148,654"
LU,505,ALPu,Alperton,Station entry / exit,Gateline,"4,491","4,524","3,215","2,381","4,893","4,867","3,314","2,577","2,858,439"
LU,506,AMEu,Amersham,Station entry / exit,Gateline,"4,143","3,773","2,164","1,415","4,041","3,824","2,122","1,399","2,350,099"
LU,507,ANGu,Angel,Station entry / exit,Gateline,"28,869","28,698","21,123","13,675","29,236","29,966","22,463","13,999","17,705,761"
LU,508,ARCu,Archway,Station entry / exit,Gateline,"14,483","14,263","10,039","7,083","14,518","14,198","9,725","7,401","8,772,643"
LU,509,AGRu,Arnos Grove,Station entry / exit,Gateline,"7,419","7,498","6,062","4,171","6,733","6,895","5,646","4,008","4,436,265"
LU,510,ARLu,Arsenal,Station entry / exit,Gateline,"4,542","4,862","3,911","2,719","4,169","4,280","3,556","2,825","2,768,340"
LU,511,BSTu,Baker Street,Station entry / exit,Gateline,"46,779","46,483","30,629","22,766","46,387","46,604","31,149","23,253","28,073,310"
LU,512,BALu,Balham LU,Station entry / exit,Gateline,"21,144","22,028","16,801","10,725","21,292","21,584","16,318","10,929","13,064,682"
LU,513,BNKu,Bank and Monument,Station entry / exit,Gateline,"113,772","104,601","39,230","21,074","114,346","106,008","40,720","21,030","61,793,808"
LU,501,BARu,Barbican,Station entry / exit,Gateline,"18,859","17,280","6,377","4,198","19,564","17,330","6,724","4,480","10,467,974"
LU,514,BKGu,Barking,Station entry / exit,Gateline,"30,017","30,294","20,645","14,019","30,356","30,261","19,919","14,074","18,133,350"
LU,515,BDEu,Barkingside,Station entry / exit,Gateline,"2,744","2,588","1,414",942,"2,741","2,586","1,444",965,"1,575,379"
LU,516,BCTu,Barons Court,Station entry / exit,Gateline,"11,850","11,573","7,194","5,312","11,091","10,806","6,771","5,410","6,821,846"
LU,517,BAYu,Bayswater,Station entry / exit,Gateline,"6,484","7,229","6,740","5,787","6,079","6,884","6,503","5,076","4,253,914"
LU,518,BECu,Becontree,Station entry / exit,Gateline,"5,989","6,095","3,957","2,530","5,632","5,638","3,682","2,452","3,461,331"
LU,519,BPKu,Belsize Park,Station entry / exit,Gateline,"10,252","10,126","6,076","4,670","8,779","8,520","5,677","4,477","5,679,733"
LU,787,BERu,Bermondsey,Station entry / exit,Gateline,"15,260","15,723","12,675","8,716","14,803","15,142","12,562","8,789","9,448,211"
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Gateline,"23,350","25,785","22,567","16,388","22,246","24,887","21,991","15,938","14,920,047"
LU,521,BLFu,Blackfriars LU,Station entry / exit,Gateline,"28,287","26,530","11,590","8,652","27,564","25,878","10,392","7,509","15,533,461"
LU,522,BHRu,Blackhorse Road,Station entry / exit,Gateline,"16,360","16,516","12,327","8,628","15,418","15,073","10,999","8,216","9,741,998"
LU,524,BDSu,Bond Street,Station entry / exit,Gateline,"60,554","60,890","51,294","30,917","59,865","60,445","50,450","31,230","37,487,361"
LU,525,BORu,Borough,Station entry / exit,Gateline,"9,456","9,588","5,736","3,742","9,304","9,559","6,145","3,929","5,547,448"
LU,526,BOSu,Boston Manor,Station entry / exit,Gateline,"3,585","3,570","2,439","1,731","3,701","3,542","2,276","1,773","2,185,122"
LU,527,BGRu,Bounds Green,Station entry / exit,Gateline,"9,930","10,048","7,863","5,476","9,342","9,470","7,286","5,416","5,990,306"
LU,528,BWRu,Bow Road,Station entry / exit,Gateline,"8,953","9,185","6,105","4,297","8,339","8,016","5,575","4,424","5,229,778"
LU,529,BTXu,Brent Cross,Station entry / exit,Gateline,"4,060","3,862","2,653","2,247","3,856","3,679","2,514","2,183","2,406,723"
LU,778,BRXu,Brixton LU,Station entry / exit,Gateline,"52,678","53,663","43,032","28,883","49,567","52,011","42,438","28,951","32,032,655"
LU,530,BBBu,Bromley-by-Bow,Station entry / exit,Gateline,"7,206","7,432","4,537","3,403","6,958","6,859","4,138","3,526","4,229,591"
LU,531,BHLu,Buckhurst Hill,Station entry / exit,Gateline,"3,190","3,189","2,129","1,205","3,085","3,051","2,012","1,204","1,856,050"
LU,532,BURu,Burnt Oak,Station entry / exit,Gateline,"7,213","7,204","4,540","3,420","6,784","6,718","4,385","3,292","4,190,341"
LU,534,CRDu,Caledonian Road,Station entry / exit,Gateline,"9,342","9,806","7,010","4,997","8,862","9,111","6,492","4,979","5,603,533"
LU,535,CTNu,Camden Town,Station entry / exit,Gateline,"27,568","35,395","38,232","28,047","28,299","36,559","43,223","30,037","20,499,697"
LU,788,CWRu,Canada Water,Station entry / exit,Gateline,"19,430","21,225","21,752","13,422","19,937","21,572","21,926","14,036","13,114,503"
LU,852,CWFu,Canary Wharf LU,Station entry / exit,Gateline,"81,830","78,603","38,225","26,518","86,880","80,637","39,317","26,761","47,685,725"
LU,884,CNTu,Canning Town,Station entry / exit,Gateline,"23,025","24,077","20,685","15,136","23,370","24,842","20,576","14,572","14,826,082"
LU,536,CSTu,Cannon Street LU,Station entry / exit,Gateline,"14,247","12,626","4,136","2,080","12,514","11,170","3,406","1,817","7,108,243"
LU,537,CPKu,Canons Park,Station entry / exit,Gateline,"5,040","5,001","3,297","2,279","4,929","4,913","3,207","2,299","2,981,768"
LU,539,CLFu,Chalfont & Latimer,Station entry / exit,Gateline,"3,207","2,866","1,692",910,"2,952","2,814","1,768",935,"1,766,734"
LU,540,CHFu,Chalk Farm,Station entry / exit,Gateline,"8,973","10,012","9,034","6,164","7,797","8,635","7,243","5,036","5,448,344"
LU,541,CYLu,Chancery Lane,Station entry / exit,Gateline,"31,974","29,298","9,027","4,874","32,878","30,622","9,237","5,153","17,253,849"
LU,718,CHXu,Charing Cross LU,Station entry / exit,Gateline,"31,804","34,552","29,325","17,750","30,557","31,465","24,587","14,522","19,477,585"
LU,543,CHMu,Chesham,Station entry / exit,Gateline,"2,127","1,926","1,115",655,"1,973","1,862","1,029",624,"1,170,792"
LU,544,CHGu,Chigwell,Station entry / exit,Gateline,"1,029",976,405,241,860,804,384,249,"524,833"
LU,545,CHPu,Chiswick Park,Station entry / exit,Gateline,"4,042","3,962","2,058","1,304","4,613","4,310","1,957","1,331","2,443,330"
LU,546,CWDu,Chorleywood,Station entry / exit,Gateline,"2,624","2,250","1,240",928,"2,605","2,289","1,166","1,013","1,492,279"
LU,547,CPCu,Clapham Common,Station entry / exit,Gateline,"13,604","15,410","14,237","8,801","16,290","17,766","15,001","9,556","9,644,363"
LU,548,CPNu,Clapham North,Station entry / exit,Gateline,"8,260","9,700","9,572","5,631","10,618","11,599","9,764","6,036","6,136,734"
LU,549,CPSu,Clapham South,Station entry / exit,Gateline,"13,189","13,665","9,909","6,474","13,303","13,147","9,572","6,996","8,095,216"
LU,550,CFSu,Cockfosters,Station entry / exit,Gateline,"2,905","2,975","2,709","1,765","2,882","2,956","2,764","1,923","1,864,419"
LU,551,COLu,Colindale,Station entry / exit,Gateline,"13,156","13,252","8,589","6,261","12,547","12,298","7,808","6,179","7,700,808"
LU,552,CLWu,Colliers Wood,Station entry / exit,Gateline,"11,364","11,643","8,876","6,187","10,643","10,832","8,396","6,207","6,836,968"
LU,553,COVu,Covent Garden,Station entry / exit,Gateline,"21,574","25,318","27,871","18,809","24,249","30,399","39,451","22,924","16,550,043"
LU,554,CRXu,Croxley,Station entry / exit,Gateline,"2,054","1,932",948,423,"1,982","1,835",911,456,"1,121,607"
LU,555,DGEu,Dagenham East,Station entry / exit,Gateline,"5,327","5,268","3,012","1,870","4,886","4,672","2,590","1,805","2,953,138"
LU,556,DGHu,Dagenham Heathway,Station entry / exit,Gateline,"9,980","10,146","6,387","4,161","9,774","9,849","6,144","4,141","5,853,372"
LU,557,DEBu,Debden,Station entry / exit,Gateline,"4,242","4,107","2,278","1,307","4,095","3,748","2,079","1,283","2,380,050"
LU,558,DHLu,Dollis Hill,Station entry / exit,Gateline,"6,790","7,055","5,163","3,901","6,154","6,253","4,602","3,689","4,016,751"
LU,560,EBYu,Ealing Broadway,Station entry / exit,Gateline,"27,187","27,254","18,290","12,814","26,109","26,495","18,184","12,981","16,088,979"
LU,561,ECMu,Ealing Common,Station entry / exit,Gateline,"4,999","5,132","3,689","2,565","5,062","5,013","3,540","2,596","3,068,294"
LU,562,ECTu,Earl's Court,Station entry / exit,Gateline,"29,958","32,453","26,122","20,740","29,366","32,403","27,040","20,306","19,127,125"
LU,563,EACu,East Acton,Station entry / exit,Gateline,"6,779","6,880","4,541","3,283","6,785","6,787","4,402","3,356","4,081,695"
LU,565,EFYu,East Finchley,Station entry / exit,Gateline,"11,879","11,763","7,374","4,957","11,346","11,009","6,813","5,040","6,866,724"
LU,566,EHMu,East Ham,Station entry / exit,Gateline,"21,587","21,701","15,022","10,982","21,361","20,994","14,328","10,785","13,011,044"
LU,567,EPYu,East Putney,Station entry / exit,Gateline,"10,995","10,928","6,684","4,767","10,760","10,467","6,382","5,102","6,445,888"
LU,564,ETEu,Eastcote,Station entry / exit,Gateline,"4,994","4,789","2,663","1,592","4,866","4,579","2,550","1,628","2,825,453"
LU,568,EDGu,Edgware,Station entry / exit,Gateline,"8,270","8,006","5,643","4,115","7,947","7,741","5,580","4,152","4,922,141"
LU,774,ERBu,Edgware Road (Bak),Station entry / exit,Gateline,"8,106","8,031","5,785","3,735","7,977","7,809","5,647","3,660","4,856,904"
LU,569,ERDu,Edgware Road (DIS),Station entry / exit,Gateline,"11,748","11,394","6,125","5,185","11,381","10,978","6,032","4,675","6,737,179"
